S No.,name,genre,type,episodes,rating,Anime_Archetype
80,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,Obliviscaris Spire
81,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,Celestara Veil
82,Girls und Panzer der Film,"Military, School",Movie,1,8.55,Celestara Veil
83,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,Obliviscaris Spire
84,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,Celestara Veil
85,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,Obliviscaris Spire
86,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,Obliviscaris Spire
87,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,Obliviscaris Spire
88,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,Celestara Veil
89,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,Celestara Veil
90,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,Celestara Veil
91,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,
92,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,Obliviscaris Spire
93,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,
94,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,Eclipsed Reverie
95,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,Obliviscaris Spire
96,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,Obliviscaris Spire
97,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,Obliviscaris Spire
98,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,Celestara Veil
99,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,Obliviscaris Spire
100,Barakamon,"Comedy, Slice of Life",TV,12,8.5,Celestara Veil
101,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,Obliviscaris Spire
102,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,Obliviscaris Spire
103,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,Obliviscaris Spire
104,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,Obliviscaris Spire
105,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,Aetherial Sanctum
106,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,Celestara Veil
107,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,Obliviscaris Spire
108,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,Obliviscaris Spire
109,Major S6,"Comedy, Drama, Sports",TV,25,8.49,Obliviscaris Spire
110,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,Obliviscaris Spire
111,Shirobako,"Comedy, Drama",TV,24,8.49,Celestara Veil
112,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,Obliviscaris Spire
113,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,Obliviscaris Spire
114,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,Obliviscaris Spire
115,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,Celestara Veil
116,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,Obliviscaris Spire
117,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,
118,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,Chronovault Nexus
119,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,Eclipsed Reverie
120,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,Chronovault Nexus
121,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,Obliviscaris Spire
122,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,Obliviscaris Spire
123,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,Obliviscaris Spire
124,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,Celestara Veil
125,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,Chronovault Nexus
126,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,Obliviscaris Spire
127,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,Obliviscaris Spire
128,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,Obliviscaris Spire
129,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,Chronovault Nexus
130,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,Obliviscaris Spire
131,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,
132,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,Celestara Veil
133,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,Celestara Veil
134,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,Obliviscaris Spire
135,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,Obliviscaris Spire
136,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,Aetherial Sanctum
137,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,Aetherial Sanctum
138,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,Obliviscaris Spire
139,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,Obliviscaris Spire
140,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,Obliviscaris Spire
141,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,
142,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,Obliviscaris Spire
143,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,Celestara Veil
144,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,Obliviscaris Spire
145,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,Obliviscaris Spire
146,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,Obliviscaris Spire
147,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,Obliviscaris Spire
148,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,Obliviscaris Spire
149,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,Obliviscaris Spire
150,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,Obliviscaris Spire
151,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,Celestara Veil
152,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,Obliviscaris Spire
153,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,
154,Major S3,"Drama, Shounen, Sports",TV,26,8.4,Obliviscaris Spire
155,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,
156,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,Celestara Veil
157,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,Celestara Veil
158,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,Celestara Veil
159,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,Celestara Veil
160,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,Obliviscaris Spire
161,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,Obliviscaris Spire
162,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,Obliviscaris Spire
163,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,Obliviscaris Spire
164,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,Obliviscaris Spire
165,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,Celestara Veil
166,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,Obliviscaris Spire
167,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,Obliviscaris Spire
168,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,Celestara Veil
169,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,
170,Shelter,"Music, Sci-Fi",Music,1,8.38,Luminarch Dominion
171,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,Chronovault Nexus
172,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,Chronovault Nexus
173,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8.37,Celestara Veil
174,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,Obliviscaris Spire
175,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8.37,Chronovault Nexus
176,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,Obliviscaris Spire
177,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,Obliviscaris Spire
178,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,Chronovault Nexus
179,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,Obliviscaris Spire
180,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,Celestara Veil
181,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,Celestara Veil
182,Major: Message,"Comedy, Drama, Sports",OVA,1,8.36,Obliviscaris Spire
183,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,Obliviscaris Spire
184,SKET Dance,"Comedy, School, Shounen",TV,77,8.36,Celestara Veil
185,Bakuman.,"Comedy, Romance, Shounen",TV,25,8.35,Celestara Veil
186,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,Celestara Veil
187,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,Celestara Veil
188,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,Chronovault Nexus
189,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,Obliviscaris Spire
190,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,1,8.35,Obliviscaris Spire
191,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,Celestara Veil
192,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,
193,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,Luminarch Dominion
194,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,8.34,Obliviscaris Spire
195,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,Obliviscaris Spire
196,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,Chronovault Nexus
197,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,1,8.34,Obliviscaris Spire
198,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,Obliviscaris Spire
199,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,Obliviscaris Spire
200,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,Eclipsed Reverie
201,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,Obliviscaris Spire
202,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,Eclipsed Reverie
203,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,Obliviscaris Spire
204,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,Obliviscaris Spire
205,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,Eclipsed Reverie
206,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,Obliviscaris Spire
207,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,Obliviscaris Spire
208,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,Obliviscaris Spire
209,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,1,8.32,Celestara Veil
210,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,Celestara Veil
211,Nagi no Asukara,"Drama, Fantasy, Romance",TV,26,8.32,Celestara Veil
212,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,
213,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,Obliviscaris Spire
214,Tokyo Godfathers,"Comedy, Drama",Movie,1,8.32,Luminarch Dominion
215,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,Obliviscaris Spire
216,xxxHOLiC Rou,"Mystery, Supernatural",OVA,2,8.32,Obliviscaris Spire
217,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,Aetherial Sanctum
218,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,Obliviscaris Spire
219,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,Celestara Veil
220,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,Celestara Veil
221,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,1,8.31,Celestara Veil
222,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,Chronovault Nexus
223,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,Obliviscaris Spire
224,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,Celestara Veil
225,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,Celestara Veil
226,Summer Wars,"Comedy, Sci-Fi",Movie,1,8.3,Luminarch Dominion
227,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,Obliviscaris Spire
228,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,Obliviscaris Spire
229,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26,8.29,Eclipsed Reverie
230,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,Obliviscaris Spire
231,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29,Obliviscaris Spire
232,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29,Obliviscaris Spire
233,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,120,8.29,Obliviscaris Spire
234,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28,Celestara Veil
235,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,Obliviscaris Spire
236,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,Celestara Veil
237,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,Celestara Veil
238,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,24,8.28,Obliviscaris Spire
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,Obliviscaris Spire
